Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,South Africa,ZAF,3.35,14.41,5.02,5.46,4.25
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,South Sudan,SSD,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Spain,ESP,2.62,2.72,2.18,2.84,1.87
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Sri Lanka,LKA,19.79,23.49,11.94,11.22,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,St. Kitts and Nevis,KNA,54.47,54.44,11,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,St. Lucia,LCA,..,33.45,15.43,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,St. Martin (French part),MAF,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,St. Vincent and the Grenadines,VCT,14.52,14.52,15.01,15.14,13.82
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Sudan,SDN,..,..,25,25,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Suriname,SUR,19.45,13.61,13.61,14.92,15.15
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Sweden,SWE,2.62,2.72,2.18,2.84,1.87
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Switzerland,CHE,20.66,70.25,18.28,15.69,11.68
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Syrian Arab Republic,SYR,..,..,10.82,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Tajikistan,TJK,..,..,6.37,6.26,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Tanzania,TZA,22.94,23.18,28.63,24.85,26.8
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Thailand,THA,..,..,..,10.8,6.75
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Timor-Leste,TLS,..,..,2.55,2.55,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Togo,TGO,14.54,15.81,15.81,13.35,11.49
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Tonga,TON,..,..,3.79,4.06,4.03
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Trinidad and Tobago,TTO,..,..,..,15.59,10.81
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Tunisia,TUN,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Turkiye,TUR,7.38,10.1,10.23,7.93,8.89
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Turkmenistan,TKM,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Turks and Caicos Islands,TCA,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Tuvalu,TUV,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Uganda,UGA,20.54,20.88,23.47,23.57,25.37
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Ukraine,UKR,1.66,23.7,2.55,3.11,3.37
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,United Arab Emirates,ARE,20.39,12.61,5.72,6.25,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,United Kingdom,GBR,2.62,2.72,2.12,6.29,4.84
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,United States,USA,8.24,134.84,3.31,2.89,2.49
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Uruguay,URY,6.15,6.15,7.24,7.25,5.51
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Uzbekistan,UZB,..,..,5.04,5.25,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Vanuatu,VUT,..,..,20.22,18.87,17.47
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,"Venezuela, RB",VEN,22.79,20.25,22.59,22.32,23.27
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Viet Nam,VNM,13.03,5.98,6.78,6.68,6.02
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Virgin Islands (U.S.),VIR,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,West Bank and Gaza,PSE,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,"Yemen, Rep.",YEM,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Zambia,ZMB,4.43,..,9.44,9.5,9.94
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Zimbabwe,ZWE,..,..,..,9,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Africa Eastern and Southern,AFE,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Africa Western and Central,AFW,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Arab World,ARB,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Caribbean small states,CSS,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Central Europe and the Baltics,CEB,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Early-demographic dividend,EAR,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,East Asia & Pacific,EAS,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Euro area,EMU,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Europe & Central Asia,ECS,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,European Union,EUU,2.62,2.72,2.18,2.84,1.87
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Fragile and conflict affected situations,FCS,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,High income,HIC,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,IBRD only,IBD,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,IDA & IBRD total,IBT,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,IDA blend,IDB,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,IDA only,IDX,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,IDA total,IDA,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Late-demographic dividend,LTE,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Latin America & Caribbean,LCN,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Least developed countries: UN classification,LDC,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Low & middle income,LMY,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Low income,LIC,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Lower middle income,LMC,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Middle East & North Africa,MEA,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Middle East & North Africa (excluding high income),MNA,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Middle income,MIC,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,North America,NAC,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Not classified,INX,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,OECD members,OED,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Other small states,OSS,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Pacific island small states,PSS,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Post-demographic dividend,PST,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Pre-demographic dividend,PRE,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Small states,SST,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,South Asia,SAS,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,South Asia (IDA & IBRD),TSA,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Sub-Saharan Africa,SSF,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Sub-Saharan Africa (excluding high income),SSA,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Upper middle income,UMC,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,World,WLD,..,..,..,..,..
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 04/15/2025,,,,,,,,
